record - leader,001,008,008 1,008 2,008 3,008 4,008 5,008 6,008 7,008 8,035,040,245,260,310,310 1,310 2,310 2 1,310 2 2,310 3,310 3 1,310 3 2,310 4,310 4 1,310 4 2,310 5,310 6,336,336 1,336 2,336 2 1,336 2 2,336 2 3,336 2 4,336 2 5,337,337 1,337 2,337 2 1,337 2 2,338,338 1,338 2 1,338 2 2,653,653 1,653 2,653 2 3,653 2 4,653 2 5,653 2 6,653 2 7,653 2 1,653 2 2,653 3,264,996,996 1,996 2,996 2 1,996 2 2,996 3,996 3 1,996 3 2,996 4,996 4 1,996 4 2,996 5,996 5 1,996 5 2,996 6,996 7,996 8,998,998 1,998 2,998 3,998 4,998 5,998 6,998 7,650,710,710 1,710 2,710 3,710 3 1,710 3 2,710 3 3,710 3 4,710 3 5,710 3 6,710 3 7,710 3 8,710 4,710 4 1,710 4 2,710 5,710 6,710 7,710 8,710 9,710 10,710 11,710 12,710 13,710 14,710 15,710 16,710 17,710 18,710 19,710 20,710 21,710 22,246,500,500 1,500 2,500 2 1,500 2 2,500 3,500 4,500 5,500 6,500 7,775,022,247,321,580,546,521,900,300,490,700,041,773,981,711,856,110,901,692,250,525,600,983,505,Column 44,Column 45,Column 46,Column 47,Column 48,Column 49,Column 50,Column 51,Column 52,Column 53,Column 54,Column 55,Column 56,Column 57,Column 58
00812nas  2200253u  4500,9.91763060010148E15,960726q19841997be qr|p||     0|||a|dut c,960726q19841997be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001763060LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917630600101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aLekkernieuws Covee,,^$ $ $aMonthly,^,aMonthly,,Monthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,^$ $1$c1984-[2005]^$ $1$aKampenhout$ $ $bCovee$ $ $31984-[2005],^$ $ $aKADOC$ $ $bphysical$ $ $c202006$ $ $9local,^,aKADOC,,KADOC,bphysical,,physical,c202006,,202006.0,9local,,local,,,,,,,,,,,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $alandbouw$ $ $6(ODIS-TW)1131,^$2$ $aCovee$ $ $4oth,^,aCovee,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aPeriodiciteit varieert,^,aPeriodiciteit varieert,,Periodiciteit varieert,,,,,,,,^$1$0$aCovee's Lekkernieuws$ $ $g1993-1996^$1$0$aDe Lekkerkrant$ $ $g1984-1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00554nas  2200181u  4500,9.91764219010148E15,960726q19841997be qr|p||     0|||a|dut c,960726q19841997be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001764219LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917642190101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$3$a't Aceeveetje.,^$ $ $aAalst$ $ $bACV. Verbond Aalst$ $ $c[1981]-[1983],^$ $ $aMonthly,^,aMonthly,,Monthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $7$2KADOC$ $ $aC8$ $ $xIdeologie en politiek$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00537nas  2200181u  4500,9.91764377010148E15,960726q19841997be qr|p||     0|||a|dut c,960726q19841997be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001764377LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917643770101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$3$a't ACV krantje.,^$ $ $aLeuven$ $ $bACV. Verbond Leuven$ $ $c1983-[1985],^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$2$ $aACV. Verbond Leuven.$ $ $4oth,^,aACV. Verbond Leuven.,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00534nas  2200181u  4500,9.91767549010148E15,961003d19819999be ur|p||     0|||a|fre c,961003d19819999be ur,p,,0,,,a,French,^$ $ $a(BeLVLBS)001767549LBS01-Aleph^$ $ $a6681642^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917675490101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aBulletin de l'Armée de Marie.,^$ $ $aS.l.$ $ $bArmée de Marie$ $ $c[1981]-?,^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$2$ $aArmée de Marie$ $ $4oth,^,aArmée de Marie,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00603nas  2200181u  4500,9.91769232010148E15,961008q19841989be qr|p||     0|||a|fre c,961008q19841989be qr,p,,0,,,a,French,^$ $ $a(BeLVLBS)001769232LBS01-Aleph^$ $ $a6689755^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917692320101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCEPO. Bulletin de liaison.,^$ $ $aBruxelles$ $ $bCommission d'étude et de pastorale ouvrière$ $ $c[1984]-[1989],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$2$ $aCommission d'étude et de pastorale ouvrière.$ $ $4oth,^,aCommission d'étude et de pastorale ouvrière.,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00529nas  2200181u  4500,9.91770685010148E15,961014q19841990be br|p||     0|||a|dut c,961014q19841990be br,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001770685LBS01-Aleph^$ $ $a6696036^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917706850101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCAO-tijdingen.,^$ $ $aGent$ $ $bCAO Sint-Lucas$ $ $c[1984]-[1990],^$ $ $aBimonthly,^,aBimonthly,,Bimonthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$2$ $aCAO Sint-Lucas$ $ $cGent$ $ $4oth,^,aCAO Sint-Lucas,cGent,cGent,,,,,,,,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00678nas  2200205u  4500,9.91772046010148E15,961014q19841990be br|p||     0|||a|dut c,961014q19841990be br,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001772046LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917720460101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aHerfstlicht-eigentijds.,^$ $ $aBrussel$ $ $bKristelijke beweging van gepensioneerden$ $ $c1985-1997,^$ $ $aMonthly,^,aMonthly,,Monthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$1$8$w(BeLVLBS)001026223LBS01-Aleph$ $ $tHerfstlicht$ $ $4780,,,,^$ $ $aVoortzetting van : Herfstlicht^$ $ $aVoortgezet als : Eigentijds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00575nas  2200169u  4500,9.91781865010148E15,961014q19841990be br|p||     0|||a|dut c,961014q19841990be br,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001781865LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917818650101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aChristelijk verbond van ziekenfondsen. Jeugddienst. Nieuwsbrief.,^$ $ $aAntwerpen$ $ $bChristelijk verbond van ziekenfondsen. Jeugddienst$ $ $c[1982]-?,^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00525nas  2200181u  4500,9.91782456010148E15,961119q19831985be mr|p||     0|||a|dut c,961119q19831985be mr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001782456LBS01-Aleph^$ $ $a6754927^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917824560101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$a't Zaaierke.,^$ $ $aMechelen$ $ $b't Zaaierke$ $ $c1983-[1985],^$ $ $aMonthly,^,aMonthly,,Monthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^,LBS01,bib_200501.mrc.2.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00586nas  2200193u  4500,9.91784424010148E15,961125q19831985be qr|p||     0|||a|dut c,961125q19831985be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001784424LBS01-Aleph^$ $ $a6765296^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917844240101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aGeloof en licht.,^$ $ $aOnze-Lieve-Vrouw-Waver$ $ $bGeloof en licht$ $ $c1983-[1985],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^,LBS01,bib_200501.mrc.2.ar,,,,,,^$2$ $aGeloof en licht$ $ $4oth,^,aGeloof en licht,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00630nas  2200193u  4500,9.91784535010148E15,961125q19831985be ur|p||     0|||a|dut c,961125q19831985be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001784535LBS01-Aleph^$ $ $a6765766^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917845350101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aLourdes : kontaktblad.,^$ $ $aLeopoldsburg$ $ $bLourdesbedevaart van het Belgisch leger$ $ $c[1983]-[1985],^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^,LBS01,bib_200501.mrc.2.ar,,,,,,^$2$ $aLourdesbedevaart van het Belgisch leger$ $ $4oth,^,aLourdesbedevaart van het Belgisch leger,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00550nas  2200169u  4500,9.91787568010148E15,961125q19831985be ur|p||     0|||a|dut c,961125q19831985be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001787568LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917875680101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aInfo.,^$ $ $aMol$ $ $bChristelijke centrale van werknemers uit de steen-,cement-,cement-,,,,,,,,,,,,ceramiek- en glasbedrijven$ $ $c1984-[1987],ceramiek- en glasbedrijven$ $ $c1984-[1987],,,,,,,^$ $ $aMonthly,,aMonthly,aMonthly,,^$ $ $atext$ $ $2rdacontent,,atext,2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^,aunmediated,,unmedi,ted,,,,unmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^,aPeriodicals,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00545nas  2200181u  4500,9.91788654010148E15,961204q19839999be ur|p||     0|||a|dut c,961204q19839999be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001788654LBS01-Aleph^$ $ $a6784216^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917886540101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe Franciscaanse lekenorde.,^$ $ $aS.l.$ $ $bFranciscaanse lekenorde$ $ $c[1983]-?,^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^,LBS01,bib_200501.mrc.2.ar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00636nas  2200205u  4500,9.91789654010148E15,961209q19851988be br|p||     0|||a|dut c,961209q19851988be br,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001789654LBS01-Aleph^$ $ $a6788972^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917896540101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aJA.,^$ $ $aTurnhout$ $ $bDekenij Turnhout. Jeugdwerking Abram$ $ $c1985-[1988],^$ $ $aBimonthly,^,aBimonthly,,Bimonthly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^,LBS01,bib_200501.mrc.2.ar,,,,,,^$2$ $aDekenij Turnhout. Jeugdwerking Abram$ $ $4oth,^,aDekenij Turnhout. Jeugdwerking Abram,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$1$1$aJeugdwerking Abram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00691nas  2200229u  4500,9.91790651010148E15,961210q19822009be ur|p||     0|||a|dut c,961210q19822009be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001790651LBS01-Aleph^$ $ $a6793329^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917906510101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe Ranchi-vriend,,^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,^$ $1$c[1982]-^$ $1$aRanchi$ $ $bDe Ranchi-vriend$ $ $3[1982]-[2009],^$ $ $aKADOC$ $ $bphysical$ $ $c201702$ $ $9local,^,aKADOC,,KADOC,bphysical,,physical,c201702,,201702.0,9local,,local,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^,LBS01,bib_200501.mrc.2.ar,,,,,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $amissie$ $ $6(ODIS-TW)1319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00700nas  2200217u  4500,9.91792258010148E15,961216q19822010be qr|p||     0|||a|fre c,961216q19822010be qr,p,,0,,,a,French,^$ $ $a(BeLVLBS)001792258LBS01-Aleph^$ $ $a6801186^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917922580101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aLe fil.,^$ $ $aBruxelles$ $ $bLumen Vitae$ $ $c[1982]-[2010],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,^$ $ $aKADOC$ $ $bphysical$ $ $c201507$ $ $9local,^,aKADOC,,KADOC,bphysical,,physical,c201507,,201507.0,9local,,local,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^,LBS01,bib_200501.mrc.2.ar,,,,,^$ $7$2KADOC$ $ $aC2$ $ $xReligieuze instituten$ $ $6(ODIS-HT),^$2$ $aCentre International d'Etudes de la Formation Réligieuse,^,aCentre International d'Etudes de la Formation Réligieuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$ $ $d1946-$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00631nas  2200205u  4500,9.91792287010148E15,961216q19822003be qr|p||     0|||a|dut c,961216q19822003be qr,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001792287LBS01-Aleph^$ $ $a6801288^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917922870101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aKontakt.,^$ $ $aAntwerpen$ $ $bGezinspastoraal. Bisdom Antwerpen$ $ $c[1982]-[2003],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^,LBS01,bib_200501.mrc.2.ar,,,,,,^$2$ $aGezinspastoraal. Bisdom Antwerpen$ $ $4oth,^,aGezinspastoraal. Bisdom Antwerpen,4oth,4oth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00667nas  2200205u  4500,9.91796702010148E15,970113q19851998cg ur|p||     0|||a|fre c,970113q19851998cg ur,p,,0,,,a,French,^$ $ $a(BeLVLBS)001796702LBS01-Aleph^$ $ $a6823700^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917967020101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aTous ensemble : bulletin d'information du diocèse de Kalemie-Kirungu.,^$ $ $aS.l.$ $ $bTous ensemble$ $ $c[1985]-[1998],^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.ar,^,LBS01,bib_200501.mrc.2.ar,,,,,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00477nas  2200169u  4500,9.91799298010148E15,970120quuuu1984be ur|p||     0|||a|dut c,970120quuuu1984be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001799298LBS01-Aleph^$ $ $a6836532^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917992980101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aCVD-info haven.,^$ $ $aZeebrugge$ $ $bCVD$ $ $c[?]-[1984],^$ $ $aUnknown,^,aUnknown,,Unknown,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00690nas  2200193u  4500,9.91799764010148E15,970120quuuu1984be ur|p||     0|||a|dut c,970120quuuu1984be ur,p,,0,,,a,Dutch,^$ $ $a(BeLVLBS)001799764LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9917997640101471$ $ $bLanguage of cataloging varies$ $ $erda based,,^$0$0$aBureau international catholique de l'enfance. Contact.,^$ $ $aGenève$ $ $bBureau international catholique de l'enfance$ $ $c[1985]-[1987],^$ $ $aQuarterly,^,aQuarterly,,Quarterly,,,,,,,,,^$ $ $atext$ $ $2rdacontent,,atext$ $ $2rdacontent,text,2rdacontent,,,,^$ $ $aunmediated$ $ $2rdamedia,,aunmediated$ $ $2rdamedia,aunmediated,2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,volume,physical object,^$ $6$aPeriodicals,^,aPeriodicals,,Periodic,ls,,,,Periodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,^$2$ $aBICE$ $ $gBureau international catholique de l'enfance$ $ $4oth,^,aBICE,gBureau international catholique de l'enfance,gBure,u intern,tion,l c,tholique de l'enf,nce,,,4oth,4oth,,,,,,,,,,,,,,,,,,,,,^$ $ $aOok Engelse,^,aOok Engelse,,Ook Engelse,,,,,,Spaanse en Duitse editie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
